TABLE_SCHEMA,TABLE_NAME,CONSTRAINT_NAME,CONSTRAINT_TYPE,COLUMN_NAME,ORDINAL_POSITION
MicrosoftAdsBronze,AdGroupDeviceBidModifier,PK_AdGroupDeviceBidModifier,PRIMARY KEY,DeviceType,2
MicrosoftAdsBronze,Campaign,PK_Campaign,PRIMARY KEY,CampaignId,1
MicrosoftAdsBronze,CampaignAdditiveMetric,PK_CampaignAdditiveMetric,PRIMARY KEY,ActivityDateTimePst,1
MicrosoftAdsBronze,CampaignAdditiveMetric,PK_CampaignAdditiveMetric,PRIMARY KEY,CampaignId,2
MicrosoftAdsBronze,CampaignDeviceBidModifier,PK_CampaignDeviceBidModifier,PRIMARY KEY,CampaignId,1
MicrosoftAdsBronze,CampaignDeviceBidModifier,PK_CampaignDeviceBidModifier,PRIMARY KEY,DeviceType,2
MicrosoftAdsBronze,CampaignMaxConversionValue,PK_CampaignMaxConversionValue,PRIMARY KEY,CampaignId,1
MicrosoftAdsBronze,CampaignMaxConversions,PK_CampaignMaxConversions,PRIMARY KEY,CampaignId,1
MicrosoftAdsBronze,CampaignTargetCpa,PK_CampaignTargetCpa,PRIMARY KEY,CampaignId,1
MicrosoftAdsBronze,CampaignTargetRoas,PK_CampaignTargetRoas,PRIMARY KEY,CampaignId,1
TixBiddingBronze,AdGroupBidValueChange,PK_AdGroupBidValueChange,PRIMARY KEY,AdGroupId,1
TixBiddingBronze,AdGroupBidValueChange,PK_AdGroupBidValueChange,PRIMARY KEY,AdNetwork,2
TixBiddingBronze,AdGroupBidValueChange,PK_AdGroupBidValueChange,PRIMARY KEY,BidValueType,3
TixBiddingBronze,AdGroupCalculationSettingChange,PK_AdGroupCalculationSettingChange,PRIMARY KEY,AdGroupId,1
TixBiddingBronze,AdGroupCalculationSettingChange,PK_AdGroupCalculationSettingChange,PRIMARY KEY,AdNetwork,2
TixBiddingBronze,AdGroupCalculationSettingChange,PK_AdGroupCalculationSettingChange,PRIMARY KEY,CalculationSettingType,3
TixBiddingBronze,CampaignBidValueChange,PK_CampaignBidValueChange,PRIMARY KEY,AdNetwork,1
TixBiddingBronze,CampaignBidValueChange,PK_CampaignBidValueChange,PRIMARY KEY,BidValueType,2
TixBiddingBronze,CampaignBidValueChange,PK_CampaignBidValueChange,PRIMARY KEY,CampaignId,3
TixBiddingBronze,CampaignCalculationSettingChange,PK_CampaignCalculationSettingChange,PRIMARY KEY,AdNetwork,1
TixBiddingBronze,CampaignCalculationSettingChange,PK_CampaignCalculationSettingChange,PRIMARY KEY,CalculationSettingType,2
TixBiddingBronze,CampaignCalculationSettingChange,PK_CampaignCalculationSettingChange,PRIMARY KEY,CampaignId,3
TixBiddingBronze,GoogleAdsAdGroupBidModifierChange,PK_GoogleAdsAdGroupBidModifierChange,PRIMARY KEY,BidModifierChangeId,1
TixBiddingBronze,GoogleAdsAdGroupCalculationLog,PK_GoogleAdsAdGroupCalculationLog,PRIMARY KEY,CalculationIdentifier,1
TixBiddingBronze,GoogleAdsCampaignBidModifierChange,PK_GoogleAdsCampaignBidModifierChange,PRIMARY KEY,BidModifierChangeId,1
TixBiddingBronze,GoogleAdsCampaignCalculationLog,PK_GoogleAdsCampaignCalculationLog,PRIMARY KEY,CalculationIdentifier,1
TixBiddingBronze,MicrosoftAdsAdGroupBidModifierChange,PK_MicrosoftAdsAdGroupBidModifierChange,PRIMARY KEY,BidModifierChangeId,1
TixBiddingBronze,MicrosoftAdsAdGroupCalculationLog,PK_MicrosoftAdsAdGroupCalculationLog,PRIMARY KEY,CalculationIdentifier,1
TixBiddingBronze,MicrosoftAdsCampaignBidModifierChange,PK_MicrosoftAdsCampaignBidModifierChange,PRIMARY KEY,BidModifierChangeId,1
TixBiddingBronze,MicrosoftAdsCampaignCalculationLog,PK_MicrosoftAdsCampaignCalculationLog,PRIMARY KEY,CalculationIdentifier,1
Utility,DimCalendar,PK_DimCalendar,PRIMARY KEY,CalendarId,1
