TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,DATETIME_PRECISION,IS_NULLABLE
GoTicketsAdManagementBronze,MarketingImage,UpstreamUpdatedTimestampUtc,5,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,MarketingImage,CreatedTimestampUtc,6,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,MarketingImage,UpdatedTimestampUtc,7,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,MarketingImageCategory,MarketingImageId,1,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,MarketingImageCategory,CategoryId,2,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,MarketingImageCategory,CreatedTimestampUtc,3,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,MarketingImageCategory,UpdatedTimestampUtc,4,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,MarketingImageGoogleAdsImageAsset,MarketingImageId,1,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,MarketingImageGoogleAdsImageAsset,AccountId,2,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,MarketingImageGoogleAdsImageAsset,ResourceName,3,varchar,500,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,MarketingImageGoogleAdsImageAsset,CreatedTimestampUtc,4,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,MarketingImageGoogleAdsImageAsset,UpdatedTimestampUtc,5,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,MarketingImageMicrosoftAdsImageAdExtension,AccountId,1,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,MarketingImageMicrosoftAdsImageAdExtension,ImageAdExtensionId,2,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,MarketingImageMicrosoftAdsImageAdExtension,MarketingImageId,3,int,NULL,10,0,NULL,NO
GoTicketsAdManagementBronze,MarketingImageMicrosoftAdsImageAdExtension,UpdatedTimestampUtc,4,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,MarketingImageMicrosoftAdsImageAdExtension,CreatedTimestampUtc,5,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,MarketingImageMicrosoftAdsImageAsset,AccountId,1,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,MarketingImageMicrosoftAdsImageAsset,ImageAssetId,2,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,MarketingImageMicrosoftAdsImageAsset,MarketingImageId,3,int,NULL,10,0,NULL,NO
GoTicketsAdManagementBronze,MarketingImageMicrosoftAdsImageAsset,UpdatedTimestampUtc,4,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,MarketingImageMicrosoftAdsImageAsset,CreatedTimestampUtc,5,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,MarketingImageTag,MarketingImageId,1,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,MarketingImageTag,Tag,2,varchar,500,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,MarketingImageTag,CreatedTimestampUtc,3,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,MarketingImageTag,UpdatedTimestampUtc,4,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,MicrosoftAdsAdGroupForEventClusterAttributes,AdGroupId,1,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,MicrosoftAdsAdGroupForEventClusterAttributes,CampaignId,2,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,MicrosoftAdsAdGroupForEventClusterAttributes,AccountId,3,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,MicrosoftAdsAdGroupForEventClusterAttributes,AdGroupExportStrategyType,4,varchar,200,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,MicrosoftAdsAdGroupForEventClusterAttributes,AttributeSourceType,5,varchar,200,NULL,NULL,NULL,YES
GoTicketsAdManagementBronze,MicrosoftAdsAdGroupForEventClusterAttributes,GoTicketsPerformerId,6,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,MicrosoftAdsAdGroupForEventClusterAttributes,GoTicketsVenueId,7,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,MicrosoftAdsAdGroupForEventClusterAttributes,IsMarketingDefined,8,bit,NULL,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,MicrosoftAdsAdGroupForEventClusterAttributes,PerformerAliasId,9,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,MicrosoftAdsAdGroupForEventClusterAttributes,VenueAliasId,10,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,MicrosoftAdsAdGroupForEventClusterAttributes,SourceChangedTimestampUtc,11,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,MicrosoftAdsAdGroupForEventClusterAttributes,CreatedTimestampUtc,12,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,MicrosoftAdsAdGroupForEventClusterAttributes,UpdatedTimestampUtc,13,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,MicrosoftAdsAdGroupForPerformerAttributes,AdGroupId,1,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,MicrosoftAdsAdGroupForPerformerAttributes,CampaignId,2,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,MicrosoftAdsAdGroupForPerformerAttributes,AccountId,3,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,MicrosoftAdsAdGroupForPerformerAttributes,AdGroupExportStrategyType,4,varchar,200,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,MicrosoftAdsAdGroupForPerformerAttributes,AttributeSourceType,5,varchar,200,NULL,NULL,NULL,YES
GoTicketsAdManagementBronze,MicrosoftAdsAdGroupForPerformerAttributes,GoTicketsPerformerId,6,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,MicrosoftAdsAdGroupForPerformerAttributes,IsMarketingDefined,7,bit,NULL,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,MicrosoftAdsAdGroupForPerformerAttributes,PerformerAliasId,8,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,MicrosoftAdsAdGroupForPerformerAttributes,SourceChangedTimestampUtc,9,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,MicrosoftAdsAdGroupForPerformerAttributes,CreatedTimestampUtc,10,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,MicrosoftAdsAdGroupForPerformerAttributes,UpdatedTimestampUtc,11,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,MicrosoftAdsAdGroupForVenueAttributes,AdGroupId,1,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,MicrosoftAdsAdGroupForVenueAttributes,CampaignId,2,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,MicrosoftAdsAdGroupForVenueAttributes,AccountId,3,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,MicrosoftAdsAdGroupForVenueAttributes,AdGroupExportStrategyType,4,varchar,200,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,MicrosoftAdsAdGroupForVenueAttributes,AttributeSourceType,5,varchar,200,NULL,NULL,NULL,YES
GoTicketsAdManagementBronze,MicrosoftAdsAdGroupForVenueAttributes,GoTicketsVenueId,6,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,MicrosoftAdsAdGroupForVenueAttributes,IsMarketingDefined,7,bit,NULL,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,MicrosoftAdsAdGroupForVenueAttributes,VenueAliasId,8,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,MicrosoftAdsAdGroupForVenueAttributes,SourceChangedTimestampUtc,9,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,MicrosoftAdsAdGroupForVenueAttributes,CreatedTimestampUtc,10,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,MicrosoftAdsAdGroupForVenueAttributes,UpdatedTimestampUtc,11,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,MicrosoftAdsCampaignPerEventClusterAttributes,CampaignId,1,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,MicrosoftAdsCampaignPerEventClusterAttributes,AccountId,2,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,MicrosoftAdsCampaignPerEventClusterAttributes,AttributeSourceType,3,varchar,200,NULL,NULL,NULL,YES
GoTicketsAdManagementBronze,MicrosoftAdsCampaignPerEventClusterAttributes,GoTicketsPerformerId,4,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,MicrosoftAdsCampaignPerEventClusterAttributes,GoTicketsVenueId,5,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,MicrosoftAdsCampaignPerEventClusterAttributes,IsMarketingDefined,6,bit,NULL,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,MicrosoftAdsCampaignPerEventClusterAttributes,VenueAliasId,7,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,MicrosoftAdsCampaignPerEventClusterAttributes,SourceChangedTimestampUtc,8,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,MicrosoftAdsCampaignPerEventClusterAttributes,CreatedTimestampUtc,9,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,MicrosoftAdsCampaignPerEventClusterAttributes,UpdatedTimestampUtc,10,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,MicrosoftAdsCampaignPerPerformerAttributes,CampaignId,1,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,MicrosoftAdsCampaignPerPerformerAttributes,AccountId,2,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,MicrosoftAdsCampaignPerPerformerAttributes,AttributeSourceType,3,varchar,200,NULL,NULL,NULL,YES
GoTicketsAdManagementBronze,MicrosoftAdsCampaignPerPerformerAttributes,GoTicketsPerformerId,4,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,MicrosoftAdsCampaignPerPerformerAttributes,IsMarketingDefined,5,bit,NULL,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,MicrosoftAdsCampaignPerPerformerAttributes,SourceChangedTimestampUtc,6,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,MicrosoftAdsCampaignPerPerformerAttributes,CreatedTimestampUtc,7,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,MicrosoftAdsCampaignPerPerformerAttributes,UpdatedTimestampUtc,8,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,MicrosoftAdsCampaignPerVenueAttributes,CampaignId,1,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,MicrosoftAdsCampaignPerVenueAttributes,AccountId,2,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,MicrosoftAdsCampaignPerVenueAttributes,AttributeSourceType,3,varchar,200,NULL,NULL,NULL,YES
GoTicketsAdManagementBronze,MicrosoftAdsCampaignPerVenueAttributes,GoTicketsVenueId,4,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,MicrosoftAdsCampaignPerVenueAttributes,IsMarketingDefined,5,bit,NULL,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,MicrosoftAdsCampaignPerVenueAttributes,SourceChangedTimestampUtc,6,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,MicrosoftAdsCampaignPerVenueAttributes,CreatedTimestampUtc,7,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,MicrosoftAdsCampaignPerVenueAttributes,UpdatedTimestampUtc,8,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,PerformerAlias,PerformerAliasId,1,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,PerformerAlias,GoTicketsPerformerId,2,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,PerformerAlias,AliasName,3,varchar,200,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,PerformerAlias,AliasDescription,4,varchar,1000,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,PerformerAlias,ShortName,5,varchar,50,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,PerformerAlias,MediumName,6,varchar,60,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,PerformerAlias,LongName,7,varchar,68,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,PerformerAlias,AlternateShortName,8,varchar,50,NULL,NULL,NULL,YES
GoTicketsAdManagementBronze,PerformerAlias,AlternateMediumName,9,varchar,60,NULL,NULL,NULL,YES
GoTicketsAdManagementBronze,PerformerAlias,AlternateLongName,10,varchar,68,NULL,NULL,NULL,YES
GoTicketsAdManagementBronze,PerformerAlias,MarketingImageId,11,bigint,NULL,19,0,NULL,YES
GoTicketsAdManagementBronze,PerformerAlias,IsDeleted,12,bit,NULL,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,PerformerAlias,UpstreamUpdatedTimestampUtc,13,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,PerformerAlias,CreatedTimestampUtc,14,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,PerformerAlias,UpdatedTimestampUtc,15,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,PerformerAliasExportSetting,PerformerAliasId,1,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,PerformerAliasExportSetting,ExportType,2,varchar,50,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,PerformerAliasExportSetting,IsEnabled,3,bit,NULL,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,PerformerAliasExportSetting,ShouldFilterOutDynamicAdCopy,4,bit,NULL,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,PerformerAliasExportSetting,CreatedTimestampUtc,5,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,PerformerAliasExportSetting,UpdatedTimestampUtc,6,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,PerformerAliasKeywordValue,PerformerAliasKeywordValueId,1,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,PerformerAliasKeywordValue,PerformerAliasId,2,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,PerformerAliasKeywordValue,AliasKeywordValueType,3,varchar,100,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,PerformerAliasKeywordValue,KeywordText,4,varchar,160,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,PerformerAliasKeywordValue,IsOkayToUseByItself,5,bit,NULL,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,PerformerAliasKeywordValue,CreatedTimestampUtc,6,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,PerformerAliasKeywordValue,UpdatedTimestampUtc,7,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,VenueAlias,VenueAliasId,1,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,VenueAlias,GoTicketsVenueId,2,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,VenueAlias,AliasName,3,varchar,200,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,VenueAlias,AliasDescription,4,varchar,1000,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,VenueAlias,ShortName,5,varchar,50,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,VenueAlias,MediumName,6,varchar,60,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,VenueAlias,LongName,7,varchar,68,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,VenueAlias,CitySubdomain,8,varchar,96,NULL,NULL,NULL,YES
GoTicketsAdManagementBronze,VenueAlias,IsDeleted,9,bit,NULL,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,VenueAlias,UpstreamUpdatedTimestampUtc,10,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,VenueAlias,CreatedTimestampUtc,11,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,VenueAlias,UpdatedTimestampUtc,12,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,VenueAliasExportSetting,VenueAliasId,1,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,VenueAliasExportSetting,DisabledReason,2,varchar,100,NULL,NULL,NULL,YES
GoTicketsAdManagementBronze,VenueAliasExportSetting,ExportType,3,varchar,50,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,VenueAliasExportSetting,IsEnabled,4,bit,NULL,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,VenueAliasExportSetting,ShouldFilterOutDynamicAdCopy,5,bit,NULL,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,VenueAliasExportSetting,CreatedTimestampUtc,6,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,VenueAliasExportSetting,UpdatedTimestampUtc,7,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,VenueAliasKeywordValue,VenueAliasKeywordValueId,1,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,VenueAliasKeywordValue,VenueAliasId,2,bigint,NULL,19,0,NULL,NO
GoTicketsAdManagementBronze,VenueAliasKeywordValue,AliasKeywordValueType,3,varchar,100,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,VenueAliasKeywordValue,KeywordText,4,varchar,160,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,VenueAliasKeywordValue,IsOkayToUseByItself,5,bit,NULL,NULL,NULL,NULL,NO
GoTicketsAdManagementBronze,VenueAliasKeywordValue,CreatedTimestampUtc,6,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAdManagementBronze,VenueAliasKeywordValue,UpdatedTimestampUtc,7,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAuctionInsightMetric,GoogleAdsAdGroupAuctionInsightMetric,AdGroupId,1,bigint,NULL,19,0,NULL,NO
GoTicketsAuctionInsightMetric,GoogleAdsAdGroupAuctionInsightMetric,AggregationPeriod,2,varchar,100,NULL,NULL,NULL,NO
GoTicketsAuctionInsightMetric,GoogleAdsAdGroupAuctionInsightMetric,ActivityStartDate,3,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAuctionInsightMetric,GoogleAdsAdGroupAuctionInsightMetric,ActivityEndDate,4,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAuctionInsightMetric,GoogleAdsAdGroupAuctionInsightMetric,AccountId,5,bigint,NULL,19,0,NULL,NO
GoTicketsAuctionInsightMetric,GoogleAdsAdGroupAuctionInsightMetric,CampaignId,6,bigint,NULL,19,0,NULL,NO
GoTicketsAuctionInsightMetric,GoogleAdsAdGroupAuctionInsightMetric,SearchImpressionShare,7,decimal,NULL,5,4,NULL,YES
GoTicketsAuctionInsightMetric,GoogleAdsAdGroupAuctionInsightMetric,TopImpressionPercentage,8,decimal,NULL,5,4,NULL,YES
GoTicketsAuctionInsightMetric,GoogleAdsAdGroupAuctionInsightMetric,AbsoluteTopImpressionPercentage,9,decimal,NULL,5,4,NULL,YES
GoTicketsAuctionInsightMetric,GoogleAdsAdGroupAuctionInsightMetric,SourceChangedTimestampUtc,10,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAuctionInsightMetric,GoogleAdsAdGroupAuctionInsightMetric,CreatedTimestampUtc,11,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAuctionInsightMetric,GoogleAdsAdGroupAuctionInsightMetric,UpdatedTimestampUtc,12,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAuctionInsightMetric,GoogleAdsCampaignAuctionInsightMetric,CampaignId,1,bigint,NULL,19,0,NULL,NO
GoTicketsAuctionInsightMetric,GoogleAdsCampaignAuctionInsightMetric,AggregationPeriod,2,varchar,100,NULL,NULL,NULL,NO
GoTicketsAuctionInsightMetric,GoogleAdsCampaignAuctionInsightMetric,ActivityStartDate,3,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAuctionInsightMetric,GoogleAdsCampaignAuctionInsightMetric,ActivityEndDate,4,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAuctionInsightMetric,GoogleAdsCampaignAuctionInsightMetric,AccountId,5,bigint,NULL,19,0,NULL,NO
GoTicketsAuctionInsightMetric,GoogleAdsCampaignAuctionInsightMetric,SearchImpressionShare,6,decimal,NULL,5,4,NULL,YES
GoTicketsAuctionInsightMetric,GoogleAdsCampaignAuctionInsightMetric,TopImpressionPercentage,7,decimal,NULL,5,4,NULL,YES
GoTicketsAuctionInsightMetric,GoogleAdsCampaignAuctionInsightMetric,AbsoluteTopImpressionPercentage,8,decimal,NULL,5,4,NULL,YES
GoTicketsAuctionInsightMetric,GoogleAdsCampaignAuctionInsightMetric,SearchClickShare,9,decimal,NULL,5,4,NULL,YES
GoTicketsAuctionInsightMetric,GoogleAdsCampaignAuctionInsightMetric,SourceChangedTimestampUtc,10,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAuctionInsightMetric,GoogleAdsCampaignAuctionInsightMetric,CreatedTimestampUtc,11,datetime2,NULL,NULL,NULL,6,NO
GoTicketsAuctionInsightMetric,GoogleAdsCampaignAuctionInsightMetric,UpdatedTimestampUtc,12,datetime2,NULL,NULL,NULL,6,NO
GoTicketsBiddingMetric,GoogleAdsAdGroupBidChange,AdGroupId,1,bigint,NULL,19,0,NULL,NO
GoTicketsBiddingMetric,GoogleAdsAdGroupBidChange,LastBidPublishTimestampUtc,2,datetime2,NULL,NULL,NULL,6,YES
GoTicketsBiddingMetric,GoogleAdsAdGroupBidChange,LastBidPublishStrategy,3,varchar,200,NULL,NULL,NULL,YES
GoTicketsBiddingMetric,GoogleAdsAdGroupBidChange,LastBidPublishValue,4,decimal,NULL,10,2,NULL,YES
GoTicketsBiddingMetric,GoogleAdsAdGroupBidChange,LastBidPublishSource,5,varchar,100,NULL,NULL,NULL,YES
GoTicketsBiddingMetric,GoogleAdsAdGroupBidChange,LastBidPublishReason,6,varchar,1000,NULL,NULL,NULL,YES
GoTicketsBiddingMetric,GoogleAdsAdGroupBidChange,LastBidPublishCalculationId,7,varchar,36,NULL,NULL,NULL,YES
GoTicketsBiddingMetric,GoogleAdsAdGroupBidChange,LastCalculationSettingChangedTimestampUtc,8,datetime2,NULL,NULL,NULL,6,YES
GoTicketsBiddingMetric,GoogleAdsAdGroupBidChange,LastCalculationSettingChangedType,9,varchar,200,NULL,NULL,NULL,YES
GoTicketsBiddingMetric,GoogleAdsAdGroupBidChange,LastCalculationSettingChangedValue,10,decimal,NULL,10,2,NULL,YES
GoTicketsBiddingMetric,GoogleAdsAdGroupBidChange,LastCalculationSettingChangedSource,11,varchar,100,NULL,NULL,NULL,YES
GoTicketsBiddingMetric,GoogleAdsAdGroupBidChange,LastCalculationSettingChangedReason,12,varchar,1000,NULL,NULL,NULL,YES
GoTicketsBiddingMetric,GoogleAdsAdGroupBidChange,LastCalculationSettingCalculationId,13,varchar,36,NULL,NULL,NULL,YES
GoTicketsBiddingMetric,GoogleAdsAdGroupBidChange,ValidFromUtc,14,datetime2,NULL,NULL,NULL,6,NO
GoTicketsBiddingMetric,GoogleAdsAdGroupBidChange,ValidToUtc,15,datetime2,NULL,NULL,NULL,6,NO
GoTicketsBiddingMetric,GoogleAdsAdGroupBidChange,SourceChangedTimestampUtc,16,datetime2,NULL,NULL,NULL,6,NO
GoTicketsBiddingMetric,GoogleAdsAdGroupBidChange,CreatedTimestampUtc,17,datetime2,NULL,NULL,NULL,6,NO
GoTicketsBiddingMetric,GoogleAdsAdGroupBidChange,UpdatedTimestampUtc,18,datetime2,NULL,NULL,NULL,6,NO
GoTicketsBiddingMetric,GoogleAdsAdGroupBidChangeHistory,AdGroupId,1,bigint,NULL,19,0,NULL,NO
GoTicketsBiddingMetric,GoogleAdsAdGroupBidChangeHistory,LastBidPublishTimestampUtc,2,datetime2,NULL,NULL,NULL,6,YES
GoTicketsBiddingMetric,GoogleAdsAdGroupBidChangeHistory,LastBidPublishStrategy,3,varchar,200,NULL,NULL,NULL,YES
GoTicketsBiddingMetric,GoogleAdsAdGroupBidChangeHistory,LastBidPublishValue,4,decimal,NULL,10,2,NULL,YES
GoTicketsBiddingMetric,GoogleAdsAdGroupBidChangeHistory,LastBidPublishSource,5,varchar,100,NULL,NULL,NULL,YES
GoTicketsBiddingMetric,GoogleAdsAdGroupBidChangeHistory,LastBidPublishReason,6,varchar,1000,NULL,NULL,NULL,YES
GoTicketsBiddingMetric,GoogleAdsAdGroupBidChangeHistory,LastBidPublishCalculationId,7,varchar,36,NULL,NULL,NULL,YES
GoTicketsBiddingMetric,GoogleAdsAdGroupBidChangeHistory,LastCalculationSettingChangedTimestampUtc,8,datetime2,NULL,NULL,NULL,6,YES
GoTicketsBiddingMetric,GoogleAdsAdGroupBidChangeHistory,LastCalculationSettingChangedType,9,varchar,200,NULL,NULL,NULL,YES
GoTicketsBiddingMetric,GoogleAdsAdGroupBidChangeHistory,LastCalculationSettingChangedValue,10,decimal,NULL,10,2,NULL,YES
GoTicketsBiddingMetric,GoogleAdsAdGroupBidChangeHistory,LastCalculationSettingChangedSource,11,varchar,100,NULL,NULL,NULL,YES
GoTicketsBiddingMetric,GoogleAdsAdGroupBidChangeHistory,LastCalculationSettingChangedReason,12,varchar,1000,NULL,NULL,NULL,YES
GoTicketsBiddingMetric,GoogleAdsAdGroupBidChangeHistory,LastCalculationSettingCalculationId,13,varchar,36,NULL,NULL,NULL,YES
GoTicketsBiddingMetric,GoogleAdsAdGroupBidChangeHistory,ValidFromUtc,14,datetime2,NULL,NULL,NULL,6,NO
GoTicketsBiddingMetric,GoogleAdsAdGroupBidChangeHistory,ValidToUtc,15,datetime2,NULL,NULL,NULL,6,NO
GoTicketsBiddingMetric,GoogleAdsAdGroupBidChangeHistory,SourceChangedTimestampUtc,16,datetime2,NULL,NULL,NULL,6,NO
GoTicketsBiddingMetric,GoogleAdsAdGroupBidChangeHistory,CreatedTimestampUtc,17,datetime2,NULL,NULL,NULL,6,NO
GoTicketsBiddingMetric,GoogleAdsAdGroupBidChangeHistory,UpdatedTimestampUtc,18,datetime2,NULL,NULL,NULL,6,NO
GoTicketsBiddingMetric,GoogleAdsCampaignBidChange,CampaignId,1,bigint,NULL,19,0,NULL,NO
GoTicketsBiddingMetric,GoogleAdsCampaignBidChange,LastBidPublishTimestampUtc,2,datetime2,NULL,NULL,NULL,6,YES
GoTicketsBiddingMetric,GoogleAdsCampaignBidChange,LastBidPublishStrategy,3,varchar,200,NULL,NULL,NULL,YES
GoTicketsBiddingMetric,GoogleAdsCampaignBidChange,LastBidPublishValue,4,decimal,NULL,10,2,NULL,YES
GoTicketsBiddingMetric,GoogleAdsCampaignBidChange,LastBidPublishSource,5,varchar,100,NULL,NULL,NULL,YES
GoTicketsBiddingMetric,GoogleAdsCampaignBidChange,LastBidPublishReason,6,varchar,1000,NULL,NULL,NULL,YES
GoTicketsBiddingMetric,GoogleAdsCampaignBidChange,LastBidPublishCalculationId,7,varchar,36,NULL,NULL,NULL,YES
GoTicketsBiddingMetric,GoogleAdsCampaignBidChange,LastCalculationSettingChangedTimestampUtc,8,datetime2,NULL,NULL,NULL,6,YES
