schema_name,table_name,column_id,column_name,data_type,max_length,precision,scale,is_nullable,pk_name,pk_ordinal,fk_name,fk_ordinal,ref_schema_name,ref_table_name,ref_column_name
AdExperimentBronze,ExperimentArmCampaign,15,CreatedTimestampUtc,datetime2,8,26,6,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AdExperimentBronze,ExperimentArmCampaign,16,UpdatedTimestampUtc,datetime2,8,26,6,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AdExperimentBronze,ExperimentLabel,1,ExperimentIdentifier,varchar,36,0,0,0,PK_ExperimentLabel,1,NULL,NULL,NULL,NULL,NULL
AdExperimentBronze,ExperimentLabel,2,Name,varchar,200,0,0,0,PK_ExperimentLabel,2,NULL,NULL,NULL,NULL,NULL
AdExperimentBronze,ExperimentLabel,3,Value,varchar,-1,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_AdWordsAdGroup,1,AdGroupId,bigint,8,19,0,0,PK_dbo_AdWordsAdGroup,1,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_AdWordsAdGroup,2,CampaignId,bigint,8,19,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_AdWordsAdGroup,3,AdGroupName,varchar,255,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_AdWordsAdGroup,4,AdGroupStatusId,int,4,10,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_AdWordsAdGroup,5,KeywordMaxCpc,decimal,9,18,4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_AdWordsAdGroup,6,DateCreated,datetime2,8,26,6,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_AdWordsAdGroup,7,DateModified,datetime2,8,26,6,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_AdWordsAdGroup,8,BidManagementStatsStartDate,datetime2,8,26,6,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_AdWordsAdGroup,9,PerformerId,int,4,10,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_AdWordsAdGroup,10,PerformerAliasId,int,4,10,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_AdWordsAdGroup,11,TemplateAdGroupId,int,4,10,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_AdWordsAdGroup,12,CustomExportId,varchar,17,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_AdWordsAdGroup,13,EventId,int,4,10,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Archive_Tix,dbo_AdWordsAdGroup,14,SearchTerm,varchar,200,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
